macrorep,simulator,budget,comparison,delta_coverage,delta_coverage_interval,delta_width,delta_interval_score,delta_mean_group_coverage_gap,delta_worst_group_coverage_gap
1,mm1_sojourn,500,plugin_sd_nw_minus_fixed,0.017000000000000015,0.05500000000000005,-1.7080467644518453,1.303290384082672,-0.011000000000000003,-0.0200000000000001
1,mm1_sojourn,500,oracle_minus_fixed,0.016000000000000014,0.05800000000000005,-1.2995006445981847,1.2241499137246397,-0.014000000000000103,-0.0200000000000001
1,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,0.0,-0.0010000000000000009,-0.2731969747501637,0.033713365284553376,-0.004,0.0
1,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,-0.014000000000000012,0.03300000000000003,-0.9270604626621477,1.6664734093484945,-0.0019999999999999983,1.0408340855860843e-16
1,mm1_sojourn,1000,oracle_minus_fixed,-0.014000000000000012,0.03400000000000003,-0.653863487911984,1.6327600440639412,0.0020000000000000018,1.0408340855860843e-16
1,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,-0.008000000000000007,-0.009000000000000008,-0.0578138939856534,0.4128132597347123,0.036000000000000004,0.12000000000000009
1,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,0.01100000000000001,0.01200000000000001,-0.20831474322551058,-0.09810054971684146,0.004999999999999907,0.03999999999999998
1,raised_floor_gauss,100,oracle_minus_fixed,0.019000000000000017,0.02100000000000002,-0.15050084923985718,-0.5109138094515537,-0.031000000000000097,-0.08000000000000011
1,raised_floor_gauss,250,plugin_sd_nw_minus_oracle,-0.006000000000000005,-0.0040000000000000036,-0.24676829321964355,0.38375158783117813,0.06,0.1699999999999999
1,raised_floor_gauss,250,plugin_sd_nw_minus_fixed,-0.015000000000000013,-0.015000000000000013,-0.2871348569320382,0.2433172375675685,0.033,0.12
1,raised_floor_gauss,250,oracle_minus_fixed,-0.009000000000000008,-0.01100000000000001,-0.040366563712394665,-0.14043435026360962,-0.026999999999999996,-0.049999999999999906
1,raised_floor_gauss,500,plugin_sd_nw_minus_oracle,0.0,0.0,-0.18774748103700567,0.30998824765848765,0.038,0.06999999999999999
1,raised_floor_gauss,500,plugin_sd_nw_minus_fixed,0.0030000000000000027,0.0020000000000000018,-0.16410720884785457,0.05829933875497151,0.012999999999999998,0.0500000000000001
1,raised_floor_gauss,500,oracle_minus_fixed,0.0030000000000000027,0.0020000000000000018,0.0236402721891511,-0.25168890890351614,-0.025,-0.019999999999999893
1,raised_floor_gauss,1000,plugin_sd_nw_minus_oracle,-0.01100000000000001,-0.01100000000000001,-0.22784177203398137,0.17795184117232532,0.037,0.07000000000000009
1,raised_floor_gauss,1000,plugin_sd_nw_minus_fixed,0.0020000000000000018,0.0020000000000000018,-0.13648537785192882,0.060713747534694384,0.0120000000000001,0.04000000000000009
1,raised_floor_gauss,1000,oracle_minus_fixed,0.013000000000000012,0.013000000000000012,0.09135639418205255,-0.11723809363763094,-0.024999999999999897,-0.03
1,raised_floor_t3,100,plugin_sd_nw_minus_oracle,0.009000000000000008,0.01200000000000001,-0.004954440421740092,0.26541320911280897,0.029000000000000005,0.03
1,raised_floor_t3,100,plugin_sd_nw_minus_fixed,0.01100000000000001,-0.0010000000000000009,-1.01726887100924,-0.6645299784716023,0.009000000000000001,-0.0200000000000001
1,raised_floor_t3,100,oracle_minus_fixed,0.0020000000000000018,-0.013000000000000012,-1.0123144305874998,-0.9299431875844113,-0.020000000000000004,-0.0500000000000001
1,raised_floor_t3,250,plugin_sd_nw_minus_oracle,0.01100000000000001,0.01200000000000001,0.03517802371363654,0.21851083832429197,0.0269999999999999,0.010000000000000092
1,raised_floor_t3,250,plugin_sd_nw_minus_fixed,0.009000000000000008,0.0030000000000000027,-0.3704189571243748,-0.2544774832775518,0.008999999999999994,-0.020000000000000018
1,raised_floor_t3,250,oracle_minus_fixed,-0.0020000000000000018,-0.009000000000000008,-0.4055969808380113,-0.4729883216018438,-0.017999999999999905,-0.03000000000000011
1,raised_floor_t3,500,plugin_sd_nw_minus_oracle,0.01200000000000001,0.014000000000000012,0.05713998389557817,0.1552305944703205,0.027999999999999997,0.020000000000000004
1,raised_floor_t3,500,plugin_sd_nw_minus_fixed,0.015000000000000013,0.014000000000000012,-0.10838924780192061,-0.11404535958854822,-0.0050000000000000044,-0.0800000000000001
1,raised_floor_t3,500,oracle_minus_fixed,0.0030000000000000027,0.0,-0.16552923169749878,-0.2692759540588687,-0.033,-0.1000000000000001
1,raised_floor_t3,1000,plugin_sd_nw_minus_oracle,0.0040000000000000036,0.0020000000000000018,-0.07324661716797376,0.15131704581312722,0.009999999999999898,0.03
1,raised_floor_t3,1000,plugin_sd_nw_minus_fixed,-0.01100000000000001,-0.008000000000000007,-0.2799854843251228,-0.005857692286531879,-0.005000000000000102,0.010000000000000009
1,raised_floor_t3,1000,oracle_minus_fixed,-0.015000000000000013,-0.010000000000000009,-0.20673886715714906,-0.1571747380996591,-0.015,-0.01999999999999999
2,mm1_sojourn,100,plugin_sd_nw_minus_oracle,-0.0010000000000000009,0.008000000000000007,0.4696302252585012,0.8216530638830175,0.015000000000000097,0.1100000000000001
2,mm1_sojourn,100,plugin_sd_nw_minus_fixed,-0.007000000000000006,0.03700000000000003,-1.2135442839810615,0.6819364369811733,0.009000000000000098,0.1100000000000001
2,mm1_sojourn,100,oracle_minus_fixed,-0.006000000000000005,0.029000000000000026,-1.6831745092395627,-0.13971662690184417,-0.005999999999999998,0.0
2,mm1_sojourn,250,plugin_sd_nw_minus_oracle,0.0020000000000000018,0.0020000000000000018,-0.2514607380814766,0.2567589407043247,0.0,0.04
2,mm1_sojourn,250,plugin_sd_nw_minus_fixed,0.0020000000000000018,0.05300000000000005,0.4342880376367555,2.0130879302222997,0.0020000000000000018,-0.009999999999999898
2,mm1_sojourn,250,oracle_minus_fixed,0.0,0.051000000000000045,0.6857487757182321,1.756328989517975,0.0020000000000000018,-0.0499999999999999
2,mm1_sojourn,500,plugin_sd_nw_minus_oracle,-0.0010000000000000009,0.0,-0.08113873871896615,0.14706422607210712,0.0049999999999999975,0.020000000000000004
2,mm1_sojourn,500,plugin_sd_nw_minus_fixed,-0.013000000000000012,0.027000000000000024,-0.7089980264252338,1.8898428074474243,-0.006999999999999999,-0.019999999999999893
2,mm1_sojourn,500,oracle_minus_fixed,-0.01200000000000001,0.027000000000000024,-0.6278592877062676,1.7427785813753172,-0.011999999999999997,-0.0399999999999999
2,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,-0.0030000000000000027,-0.0040000000000000036,-0.24876349461378755,0.37575889505846227,0.0049999999999999975,0.0
2,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,-0.019000000000000017,0.039000000000000035,-1.0513551867064335,2.5765158245165054,0.015000000000000097,0.0399999999999999
2,mm1_sojourn,1000,oracle_minus_fixed,-0.016000000000000014,0.04300000000000004,-0.8025916920926459,2.200756929458043,0.010000000000000099,0.0399999999999999
2,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,-0.0010000000000000009,0.0030000000000000027,-0.15752600989705057,0.4324910763884988,0.04699999999999999,0.10999999999999999
2,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,0.014000000000000012,0.013000000000000012,-0.2414320137013486,0.1861637801566789,0.0059999999999999915,-0.08000000000000002
2,raised_floor_gauss,100,oracle_minus_fixed,0.015000000000000013,0.010000000000000009,-0.08390600380429802,-0.24632729623181993,-0.041,-0.19
2,raised_floor_gauss,250,plugin_sd_nw_minus_oracle,0.0050000000000000044,0.0050000000000000044,-0.12251853722045292,0.451820466741927,0.0550000000000001,0.09000000000000011
