macrorep,simulator,budget,comparison,delta_max_pairwise_score_ks,delta_mean_pairwise_score_ks,delta_bin_mean_score_range
1,mm1_sojourn,250,plugin_sd_nw_minus_fixed,0.12,0.03266666666666662,0.011833153190581244
1,mm1_sojourn,250,oracle_minus_fixed,-0.010000000000000009,-0.0037777777777777966,-0.011658846790244898
1,mm1_sojourn,500,plugin_sd_nw_minus_oracle,0.06999999999999998,0.02333333333333333,0.021069882120110295
1,mm1_sojourn,500,plugin_sd_nw_minus_fixed,0.019999999999999962,-0.004888888888888859,-0.0072908094424521674
1,mm1_sojourn,500,oracle_minus_fixed,-0.05000000000000002,-0.02822222222222219,-0.028360691562562462
1,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,-0.019999999999999962,-0.01422222222222222,-0.0036272547977306002
1,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,0.030000000000000027,-0.009111111111111098,-0.013877149239223702
1,mm1_sojourn,1000,oracle_minus_fixed,0.04999999999999999,0.005111111111111122,-0.010249894441493101
1,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,0.31999999999999995,0.17422222222222225,0.09399208047324373
1,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,0.19999999999999996,0.10200000000000001,0.014558652405925798
1,raised_floor_gauss,100,oracle_minus_fixed,-0.12,-0.07222222222222224,-0.07943342806731793
1,raised_floor_gauss,250,plugin_sd_nw_minus_oracle,0.39999999999999997,0.1731111111111111,0.08575943248062595
1,raised_floor_gauss,250,plugin_sd_nw_minus_fixed,0.14,0.06311111111111106,-0.014236795786523287
1,raised_floor_gauss,250,oracle_minus_fixed,-0.25999999999999995,-0.11000000000000004,-0.09999622826714924
1,raised_floor_gauss,500,plugin_sd_nw_minus_oracle,0.21000000000000002,0.08266666666666667,0.043316547316454415
1,raised_floor_gauss,500,plugin_sd_nw_minus_fixed,-0.040000000000000036,-0.000222222222222207,-0.050006891271122025
1,raised_floor_gauss,500,oracle_minus_fixed,-0.25000000000000006,-0.08288888888888887,-0.09332343858757644
