seed,dgp,arm,cov,size,ncomp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
20260931,gamma_ls,pcp_scaled,0.8930,1.1029,4.283,0.8737,0.8785,0.8515,0.8453,0.9050,0.9100,0.8947,0.9257,0.9158,0.9271
20260932,gamma_ls,ET,0.8980,0.9896,1.000,0.9538,0.9212,0.8211,0.8918,0.8851,0.8995,0.9032,0.8520,0.9559,0.8904
20260932,gamma_ls,pcp,0.8760,1.0577,5.393,0.8923,0.8916,0.8789,0.8454,0.8966,0.8693,0.9032,0.8724,0.8627,0.8509
20260932,gamma_ls,pcp_scaled,0.8800,1.0647,5.172,0.9179,0.8966,0.8632,0.8402,0.8851,0.8693,0.9032,0.8673,0.9069,0.8509
20260933,gamma_ls,ET,0.8890,0.8768,1.000,0.9074,0.8627,0.8299,0.8955,0.8737,0.8934,0.8916,0.9158,0.8981,0.9206
20260933,gamma_ls,pcp,0.8745,1.0178,5.399,0.8889,0.9216,0.8866,0.8756,0.8263,0.8629,0.8621,0.8526,0.8704,0.8942
20260933,gamma_ls,pcp_scaled,0.8855,1.0388,5.027,0.8889,0.9314,0.8969,0.8955,0.8632,0.8883,0.8818,0.8684,0.8519,0.8889
20260934,gamma_ls,ET,0.9000,0.8743,1.000,0.9293,0.9309,0.8535,0.8341,0.8558,0.9447,0.8947,0.9316,0.9198,0.9101
20260934,gamma_ls,pcp,0.8625,1.0557,5.358,0.8636,0.8756,0.8788,0.8634,0.8462,0.9196,0.8756,0.8368,0.8396,0.8201
20260934,gamma_ls,pcp_scaled,0.8710,1.0738,5.358,0.8586,0.8802,0.9040,0.8780,0.8317,0.9246,0.8756,0.8474,0.8877,0.8201
20260935,gamma_ls,ET,0.8990,0.9306,1.000,0.8984,0.9005,0.8947,0.9266,0.8736,0.9070,0.8704,0.8942,0.9120,0.9126
20260935,gamma_ls,pcp,0.9030,1.0917,5.087,0.8289,0.8720,0.9211,0.8644,0.9310,0.9256,0.9167,0.9038,0.9120,0.9466
20260935,gamma_ls,pcp_scaled,0.9030,1.0861,4.504,0.8342,0.8720,0.9263,0.8814,0.9023,0.9256,0.9167,0.9038,0.9213,0.9369
20260936,gamma_ls,ET,0.9425,1.0765,1.000,0.8756,0.9209,0.9606,0.9641,0.9436,0.9519,0.9741,0.9503,0.9319,0.9604
20260936,gamma_ls,pcp,0.9410,1.2419,2.860,0.9401,0.9256,0.9507,0.9333,0.9385,0.9183,0.9845,0.9669,0.9215,0.9356
20260936,gamma_ls,pcp_scaled,0.9415,1.2314,3.132,0.9355,0.9256,0.9507,0.9333,0.9538,0.9375,0.9845,0.9613,0.9215,0.9158
20260937,gamma_ls,ET,0.8725,0.9175,1.000,0.9121,0.8367,0.8947,0.8453,0.8528,0.8798,0.8866,0.7876,0.8738,0.9474
20260937,gamma_ls,pcp,0.8945,1.1089,5.186,0.9121,0.8673,0.8947,0.9006,0.9289,0.8894,0.8571,0.9171,0.8835,0.9043
20260937,gamma_ls,pcp_scaled,0.8895,1.1115,4.835,0.8956,0.8367,0.9053,0.8564,0.9137,0.8798,0.8992,0.9016,0.9078,0.8947
20260938,gamma_ls,ET,0.8540,0.8239,1.000,0.8985,0.8579,0.8196,0.8505,0.8545,0.8513,0.8195,0.8884,0.8643,0.8333
20260938,gamma_ls,pcp,0.8920,1.0751,5.359,0.8782,0.9180,0.8814,0.8918,0.8818,0.9026,0.8976,0.9023,0.8894,0.8788
